app_id,name,release_year,release_date,review_score_desc,positive,total_reviews,positive_pct,steamspy_owners,price_overview,steam_url,header_img
340350,Quintet,2015,2015-05-11,Mostly Positive,276,359,76.9,0,\N,https://store.steampowered.com/app/340350/,https://cdn.akamai.steamstatic.com/steam/apps/340350/header.jpg
2175780,Dominance,2023,2023-01-12,Mixed,229,353,64.9,0,\N,https://store.steampowered.com/app/2175780/,https://cdn.akamai.steamstatic.com/steam/apps/2175780/header.jpg
793490,Exocraft,2019,2019-03-12,Mixed,187,351,53.3,0,\N,https://store.steampowered.com/app/793490/,https://cdn.akamai.steamstatic.com/steam/apps/793490/header.jpg
497820,Quanero VR,2016,2016-08-12,Very Positive,313,349,89.7,0,\N,https://store.steampowered.com/app/497820/,https://cdn.akamai.steamstatic.com/steam/apps/497820/header.jpg
2881870,Самый дорогой человек,2024,2024-06-26,Very Positive,322,342,94.2,0,\N,https://store.steampowered.com/app/2881870/,https://cdn.akamai.steamstatic.com/steam/apps/2881870/header.jpg
2138570,Mutants: Genesis,2023,2023-05-10,Mostly Positive,268,341,78.6,0,\N,https://store.steampowered.com/app/2138570/,https://cdn.akamai.steamstatic.com/steam/apps/2138570/header.jpg
1781750,Fly Dangerous,2022,2022-05-24,Mostly Positive,269,341,78.9,0,\N,https://store.steampowered.com/app/1781750/,https://cdn.akamai.steamstatic.com/steam/apps/1781750/header.jpg
1751980,The Savior From Above,2021,2021-12-06,Very Positive,320,337,95.0,0,\N,https://store.steampowered.com/app/1751980/,https://cdn.akamai.steamstatic.com/steam/apps/1751980/header.jpg
1384320,Grapple Tournament,2023,2023-12-23,Very Positive,307,337,91.1,0,\N,https://store.steampowered.com/app/1384320/,https://cdn.akamai.steamstatic.com/steam/apps/1384320/header.jpg
555450,Deus Ex: Breach™,2017,2017-01-24,Mixed,148,332,44.6,0,\N,https://store.steampowered.com/app/555450/,https://cdn.akamai.steamstatic.com/steam/apps/555450/header.jpg
386640,Affected Zone Tactics,2015,2015-11-17,Mixed,181,330,54.8,0,\N,https://store.steampowered.com/app/386640/,https://cdn.akamai.steamstatic.com/steam/apps/386640/header.jpg
324120,Verde Station,2014,2014-12-18,Mostly Positive,248,330,75.2,0,\N,https://store.steampowered.com/app/324120/,https://cdn.akamai.steamstatic.com/steam/apps/324120/header.jpg
2730270,Sputnika Game,2024,2024-02-11,Very Positive,291,329,88.4,0,\N,https://store.steampowered.com/app/2730270/,https://cdn.akamai.steamstatic.com/steam/apps/2730270/header.jpg
1906220,Мафия Онлайн,2022,2022-07-13,Mixed,202,323,62.5,0,\N,https://store.steampowered.com/app/1906220/,https://cdn.akamai.steamstatic.com/steam/apps/1906220/header.jpg
628290,All Walls Must Fall - A Tech-Noir Tactics Game,2018,2018-02-23,Mostly Positive,227,321,70.7,0,\N,https://store.steampowered.com/app/628290/,https://cdn.akamai.steamstatic.com/steam/apps/628290/header.jpg
725100,Exoblast,2022,2022-01-31,Very Positive,253,316,80.1,0,\N,https://store.steampowered.com/app/725100/,https://cdn.akamai.steamstatic.com/steam/apps/725100/header.jpg
403690,Codename: Rogue Fleet,2016,2016-01-15,Mixed,189,315,60.0,0,\N,https://store.steampowered.com/app/403690/,https://cdn.akamai.steamstatic.com/steam/apps/403690/header.jpg
