tconst,title,year,runtime_min,genres,imdb_rating,num_votes,imdb_url
tt8741290,Tales from the Loop,2020,50,"Drama,Sci-Fi",7.4,26895,https://www.imdb.com/title/tt8741290/
tt2262308,Halo 4: Forward Unto Dawn,2012,15,"Action,Sci-Fi,Thriller",6.7,26842,https://www.imdb.com/title/tt2262308/
tt31433814,Doctor Who,2023,45,"Adventure,Drama,Sci-Fi",6.1,26504,https://www.imdb.com/title/tt31433814/
tt3155320,Extant,2014,42,"Drama,Sci-Fi,Thriller",6.5,25982,https://www.imdb.com/title/tt3155320/
tt6170874,Salvation,2017,43,"Drama,Sci-Fi,Thriller",6.9,25607,https://www.imdb.com/title/tt6170874/
tt10234362,Avenue 5,2020,30,"Comedy,Sci-Fi",6.7,25441,https://www.imdb.com/title/tt10234362/
tt0142032,Dune,2000,265,"Adventure,Drama,Sci-Fi",6.9,25127,https://www.imdb.com/title/tt0142032/
tt3952222,Killjoys,2015,42,"Action,Adventure,Sci-Fi",7.2,24861,https://www.imdb.com/title/tt3952222/
tt4192782,Glitch,2015,45,"Drama,Horror,Sci-Fi",7.2,23461,https://www.imdb.com/title/tt4192782/
tt11640018,La Brea,2021,\N,"Drama,Mystery,Sci-Fi",5.8,22870,https://www.imdb.com/title/tt11640018/
tt0289830,Taken,2002,68,"Drama,Mystery,Sci-Fi",7.8,22387,https://www.imdb.com/title/tt0289830/
tt19395018,Constellation,2024,53,"Sci-Fi,Thriller",6.7,22281,https://www.imdb.com/title/tt19395018/
tt29135600,Cassandra,2025,50,"Drama,Horror,Sci-Fi",6.7,21069,https://www.imdb.com/title/tt29135600/
tt14531842,Extraordinary,2023,30,"Comedy,Sci-Fi",7.7,20987,https://www.imdb.com/title/tt14531842/
tt9686194,War of the Worlds,2019,50,"Drama,Mystery,Sci-Fi",6.5,20520,https://www.imdb.com/title/tt9686194/
tt5711280,Electric Dreams,2017,60,"Drama,Sci-Fi",7.2,20517,https://www.imdb.com/title/tt5711280/
tt2693776,Intelligence,2014,\N,"Action,Drama,Sci-Fi",6.8,20398,https://www.imdb.com/title/tt2693776/
tt8783930,The Time Traveler's Wife,2022,45,"Drama,Romance,Sci-Fi",7.6,20326,https://www.imdb.com/title/tt8783930/
tt9900092,Motherland: Fort Salem,2020,42,"Drama,Fantasy,Sci-Fi",7.3,20185,https://www.imdb.com/title/tt9900092/
tt3696720,Ascension,2014,77,"Drama,Sci-Fi",7.1,20141,https://www.imdb.com/title/tt3696720/
tt9814116,Brave New World,2020,\N,"Drama,Sci-Fi,Thriller",7.0,19385,https://www.imdb.com/title/tt9814116/
tt2657262,Star-Crossed,2014,60,"Drama,Romance,Sci-Fi",7.1,18626,https://www.imdb.com/title/tt2657262/
tt7826108,Raising Dion,2019,50,"Drama,Sci-Fi",7.1,18156,https://www.imdb.com/title/tt7826108/
tt14273790,The Rig,2023,51,"Drama,Mystery,Sci-Fi",5.9,18084,https://www.imdb.com/title/tt14273790/
tt9151230,To the Lake,2019,48,"Drama,Sci-Fi,Thriller",7.2,16794,https://www.imdb.com/title/tt9151230/
tt0287839,Children of Dune,2003,89,"Adventure,Drama,Sci-Fi",7.2,16312,https://www.imdb.com/title/tt0287839/
tt7403736,V-Wars,2019,60,"Drama,Horror,Sci-Fi",6.0,16286,https://www.imdb.com/title/tt7403736/
tt2592094,Believe,2014,42,"Drama,Fantasy,Sci-Fi",7.1,15628,https://www.imdb.com/title/tt2592094/
tt4939064,Mars,2016,60,"Adventure,Drama,Sci-Fi",7.4,15628,https://www.imdb.com/title/tt4939064/
tt6632666,Project Blue Book,2019,45,"Drama,Mystery,Sci-Fi",7.6,15608,https://www.imdb.com/title/tt6632666/
tt0910812,Tin Man,2007,90,"Adventure,Fantasy,Sci-Fi",7.0,15442,https://www.imdb.com/title/tt0910812/
tt14759574,Mrs. Davis,2023,57,"Comedy,Drama,Sci-Fi",7.3,15323,https://www.imdb.com/title/tt14759574/
tt7588054,"Roswell, New Mexico",2019,45,"Drama,Romance,Sci-Fi",6.4,15304,https://www.imdb.com/title/tt7588054/
tt0424600,The Andromeda Strain,2008,44,"Drama,Mystery,Sci-Fi",6.1,15089,https://www.imdb.com/title/tt0424600/
tt17043230,Quantum Leap,2022,42,"Drama,Mystery,Sci-Fi",6.3,14597,https://www.imdb.com/title/tt17043230/
tt4146128,Childhood's End,2015,82,"Drama,Sci-Fi,Thriller",6.8,14427,https://www.imdb.com/title/tt4146128/
tt3868848,Stitchers,2015,60,"Crime,Drama,Sci-Fi",6.8,14248,https://www.imdb.com/title/tt3868848/
tt8332130,Beforeigners,2019,45,"Crime,Drama,Sci-Fi",7.7,13284,https://www.imdb.com/title/tt8332130/
tt10623646,Paper Girls,2022,40,"Adventure,Drama,Sci-Fi",7.3,13208,https://www.imdb.com/title/tt10623646/
tt27031263,Teacup,2024,\N,"Horror,Sci-Fi,Thriller",6.3,13196,https://www.imdb.com/title/tt27031263/
tt4378456,Second Chance,2016,42,"Drama,Sci-Fi",7.4,13100,https://www.imdb.com/title/tt4378456/
tt0294097,"Harvey Birdman, Attorney at Law",2000,15,"Animation,Comedy,Sci-Fi",8.0,12699,https://www.imdb.com/title/tt0294097/
