tconst,title,year,runtime_min,genres,imdb_rating,num_votes,imdb_url
tt1318514,Rise of the Planet of the Apes,2011,105,"Action,Drama,Sci-Fi",7.6,608506,https://www.imdb.com/title/tt1318514/
tt1872181,The Amazing Spider-Man 2,2014,142,"Action,Adventure,Sci-Fi",6.6,601100,https://www.imdb.com/title/tt1872181/
tt1483013,Oblivion,2013,124,"Action,Adventure,Sci-Fi",7.0,589118,https://www.imdb.com/title/tt1483013/
tt2872732,Lucy,2014,89,"Action,Sci-Fi,Thriller",6.4,583720,https://www.imdb.com/title/tt2872732/
tt0242653,The Matrix Revolutions,2003,129,"Action,Sci-Fi",6.7,578373,https://www.imdb.com/title/tt0242653/
tt0376994,X-Men: The Last Stand,2006,104,"Action,Adventure,Sci-Fi",6.6,575969,https://www.imdb.com/title/tt0376994/
tt0458525,X-Men Origins: Wolverine,2009,107,"Action,Sci-Fi",6.5,571810,https://www.imdb.com/title/tt0458525/
tt0800080,The Incredible Hulk,2008,112,"Action,Sci-Fi",6.6,571768,https://www.imdb.com/title/tt0800080/
tt0206634,Children of Men,2006,109,"Drama,Sci-Fi,Thriller",7.9,569654,https://www.imdb.com/title/tt0206634/
tt1790864,The Maze Runner,2014,113,"Action,Mystery,Sci-Fi",6.8,568917,https://www.imdb.com/title/tt1790864/
tt1663662,Pacific Rim,2013,131,"Action,Adventure,Sci-Fi",6.9,562343,https://www.imdb.com/title/tt1663662/
tt0289879,The Butterfly Effect,2004,113,"Drama,Sci-Fi,Thriller",7.6,558762,https://www.imdb.com/title/tt0289879/
tt0289043,28 Days Later,2002,113,"Drama,Horror,Sci-Fi",7.5,552980,https://www.imdb.com/title/tt0289043/
tt1951265,The Hunger Games: Mockingjay - Part 1,2014,123,"Action,Adventure,Sci-Fi",6.6,551174,https://www.imdb.com/title/tt1951265/
tt0119116,The Fifth Element,1997,126,"Action,Adventure,Sci-Fi",7.6,549507,https://www.imdb.com/title/tt0119116/
tt1677720,Ready Player One,2018,140,"Action,Adventure,Sci-Fi",7.4,548165,https://www.imdb.com/title/tt1677720/
tt0084787,The Thing,1982,109,"Horror,Mystery,Sci-Fi",8.2,531808,https://www.imdb.com/title/tt0084787/
tt1430132,The Wolverine,2013,126,"Action,Sci-Fi",6.7,527275,https://www.imdb.com/title/tt1430132/
tt0099088,Back to the Future Part III,1990,118,"Adventure,Comedy,Sci-Fi",7.5,524151,https://www.imdb.com/title/tt0099088/
tt0319262,The Day After Tomorrow,2004,124,"Action,Adventure,Sci-Fi",6.5,515678,https://www.imdb.com/title/tt0319262/
tt1408101,Star Trek Into Darkness,2013,132,"Action,Adventure,Sci-Fi",7.7,511706,https://www.imdb.com/title/tt1408101/
tt0407304,War of the Worlds,2005,117,"Action,Adventure,Sci-Fi",6.6,511346,https://www.imdb.com/title/tt0407304/
tt0974015,Justice League,2017,120,Sci-Fi,6.0,507999,https://www.imdb.com/title/tt0974015/
tt1355644,Passengers,2016,116,"Drama,Romance,Sci-Fi",7.0,502672,https://www.imdb.com/title/tt1355644/
tt3385516,X-Men: Apocalypse,2016,144,"Action,Adventure,Sci-Fi",6.8,495985,https://www.imdb.com/title/tt3385516/
tt1535108,Elysium,2013,109,"Action,Drama,Sci-Fi",6.6,493751,https://www.imdb.com/title/tt1535108/
tt1637688,In Time,2011,109,"Action,Sci-Fi,Thriller",6.7,486974,https://www.imdb.com/title/tt1637688/
tt3480822,Black Widow,2021,134,"Action,Adventure,Sci-Fi",6.6,484310,https://www.imdb.com/title/tt3480822/
tt0120591,Armageddon,1998,151,"Action,Adventure,Sci-Fi",6.7,482276,https://www.imdb.com/title/tt0120591/
tt0119567,The Lost World: Jurassic Park,1997,129,"Action,Adventure,Sci-Fi",6.6,481115,https://www.imdb.com/title/tt0119567/
tt12361974,Zack Snyder's Justice League,2021,242,"Adventure,Fantasy,Sci-Fi",7.9,477609,https://www.imdb.com/title/tt12361974/
tt0083866,E.T. the Extra-Terrestrial,1982,115,"Adventure,Family,Sci-Fi",7.9,474924,https://www.imdb.com/title/tt0083866/
tt0217869,Unbreakable,2000,106,"Drama,Mystery,Sci-Fi",7.3,470076,https://www.imdb.com/title/tt0217869/
tt0831387,Godzilla,2014,123,"Action,Adventure,Sci-Fi",6.4,467076,https://www.imdb.com/title/tt0831387/
tt1055369,Transformers: Revenge of the Fallen,2009,149,"Action,Adventure,Sci-Fi",6.0,457069,https://www.imdb.com/title/tt1055369/
tt17526714,The Substance,2024,141,"Drama,Horror,Sci-Fi",7.2,455648,https://www.imdb.com/title/tt17526714/
tt1060277,Cloverfield,2008,85,"Action,Horror,Sci-Fi",7.0,446475,https://www.imdb.com/title/tt1060277/
tt0181852,Terminator 3: Rise of the Machines,2003,109,"Action,Sci-Fi",6.3,439311,https://www.imdb.com/title/tt0181852/
tt5950044,Superman,2025,129,"Action,Adventure,Sci-Fi",7.0,435720,https://www.imdb.com/title/tt5950044/
tt0119094,Face/Off,1997,138,"Action,Crime,Sci-Fi",7.3,429825,https://www.imdb.com/title/tt0119094/
tt2737304,Bird Box,2018,124,"Horror,Mystery,Sci-Fi",6.6,425413,https://www.imdb.com/title/tt2737304/
tt1190080,2012,2009,158,"Action,Adventure,Sci-Fi",5.9,424924,https://www.imdb.com/title/tt1190080/
tt1706620,Snowpiercer,2013,126,"Action,Drama,Sci-Fi",7.1,423763,https://www.imdb.com/title/tt1706620/
tt1951266,The Hunger Games: Mockingjay - Part 2,2015,137,"Action,Adventure,Sci-Fi",6.6,418960,https://www.imdb.com/title/tt1951266/
tt0286106,Signs,2002,106,"Drama,Mystery,Sci-Fi",6.8,416990,https://www.imdb.com/title/tt0286106/
tt3778644,Solo: A Star Wars Story,2018,135,"Action,Adventure,Sci-Fi",6.9,413133,https://www.imdb.com/title/tt3778644/
tt1182345,Moon,2009,97,"Drama,Mystery,Sci-Fi",7.8,397448,https://www.imdb.com/title/tt1182345/
tt0438488,Terminator Salvation,2009,115,"Action,Adventure,Sci-Fi",6.5,394457,https://www.imdb.com/title/tt0438488/
tt1104001,Tron: Legacy,2010,125,"Action,Adventure,Sci-Fi",6.8,388877,https://www.imdb.com/title/tt1104001/
tt1371111,Cloud Atlas,2012,172,"Drama,Mystery,Sci-Fi",7.3,387728,https://www.imdb.com/title/tt1371111/
tt1179933,10 Cloverfield Lane,2016,103,"Drama,Horror,Sci-Fi",7.2,387637,https://www.imdb.com/title/tt1179933/
tt4881806,Jurassic World: Fallen Kingdom,2018,128,"Action,Adventure,Sci-Fi",6.2,385235,https://www.imdb.com/title/tt4881806/
tt0100802,Total Recall,1990,113,"Action,Adventure,Sci-Fi",7.5,383670,https://www.imdb.com/title/tt0100802/
